"SampleID","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","cell type:ch1","treatment:ch1"
"GSM614501","PMVECs treated with vehicle rep 1","GSM614501","Public on Oct 13 2011","Oct 29 2010","Oct 13 2011","RNA","1","cultured lung endothelial cells","Homo sapiens","cell type: pulmonary microvascular endothelial cells","treatment: control","Cells were treated with freshly prepared heme (5 micromolar), every 48 hours for seven days","Endothelial cells were grown in complete medium containing fetal calf serum at 37 degrees celcius","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on a Human U 133 plus 2.0 GeneChip Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data of PMVECs cultured for seven days in normal medium","Gene level expression index was generated using the Affymetrix MAS 5.0 software.","GPL570","Tianwei,,Yu","Biostatistics","Emory University","1518 Clifton Rd NE","Atlanta","GA","30322","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614501/suppl/GSM614501_Sample_1.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614501/suppl/GSM614501_Sample_1.CHP.gz","54675","pulmonary microvascular endothelial cells","control"
"GSM614502","PMVECs treated with vehicle rep2","GSM614502","Public on Oct 13 2011","Oct 29 2010","Oct 13 2011","RNA","1","cultured lung endothelial cells","Homo sapiens","cell type: pulmonary microvascular endothelial cells","treatment: control","Cells were treated with freshly prepared heme (5 micromolar), every 48 hours for seven days","Endothelial cells were grown in complete medium containing fetal calf serum at 37 degrees celcius","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on a Human U 133 plus 2.0 GeneChip Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data of PMVECs cultured for seven days in normal medium","Gene level expression index was generated using the Affymetrix MAS 5.0 software.","GPL570","Tianwei,,Yu","Biostatistics","Emory University","1518 Clifton Rd NE","Atlanta","GA","30322","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614502/suppl/GSM614502_Sample_2.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614502/suppl/GSM614502_Sample_2.CHP.gz","54675","pulmonary microvascular endothelial cells","control"
"GSM614503","PMVECs treated with vehicle rep 3","GSM614503","Public on Oct 13 2011","Oct 29 2010","Oct 13 2011","RNA","1","cultured lung endothelial cells","Homo sapiens","cell type: pulmonary microvascular endothelial cells","treatment: control","Cells were treated with freshly prepared heme (5 micromolar), every 48 hours for seven days","Endothelial cells were grown in complete medium containing fetal calf serum at 37 degrees celcius","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on a Human U 133 plus 2.0 GeneChip Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data of PMVECs cultured for seven days in normal medium","Gene level expression index was generated using the Affymetrix MAS 5.0 software.","GPL570","Tianwei,,Yu","Biostatistics","Emory University","1518 Clifton Rd NE","Atlanta","GA","30322","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614503/suppl/GSM614503_Sample_3.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614503/suppl/GSM614503_Sample_3.CHP.gz","54675","pulmonary microvascular endothelial cells","control"
"GSM614504","PMVECs treated with vehicle rep 4","GSM614504","Public on Oct 13 2011","Oct 29 2010","Oct 13 2011","RNA","1","cultured lung endothelial cells","Homo sapiens","cell type: pulmonary microvascular endothelial cells","treatment: control","Cells were treated with freshly prepared heme (5 micromolar), every 48 hours for seven days","Endothelial cells were grown in complete medium containing fetal calf serum at 37 degrees celcius","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on a Human U 133 plus 2.0 GeneChip Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data of PMVECs cultured for seven days in normal medium","Gene level expression index was generated using the Affymetrix MAS 5.0 software.","GPL570","Tianwei,,Yu","Biostatistics","Emory University","1518 Clifton Rd NE","Atlanta","GA","30322","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614504/suppl/GSM614504_Sample_4.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614504/suppl/GSM614504_Sample_4.CHP.gz","54675","pulmonary microvascular endothelial cells","control"
"GSM614505","PMVECs treated with vehicle rep 5","GSM614505","Public on Oct 13 2011","Oct 29 2010","Oct 13 2011","RNA","1","cultured lung endothelial cells","Homo sapiens","cell type: pulmonary microvascular endothelial cells","treatment: control","Cells were treated with freshly prepared heme (5 micromolar), every 48 hours for seven days","Endothelial cells were grown in complete medium containing fetal calf serum at 37 degrees celcius","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on a Human U 133 plus 2.0 GeneChip Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data of PMVECs cultured for seven days in normal medium","Gene level expression index was generated using the Affymetrix MAS 5.0 software.","GPL570","Tianwei,,Yu","Biostatistics","Emory University","1518 Clifton Rd NE","Atlanta","GA","30322","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614505/suppl/GSM614505_Sample_5.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614505/suppl/GSM614505_Sample_5.CHP.gz","54675","pulmonary microvascular endothelial cells","control"
"GSM614506","PMVECs treated with vehicle rep 6","GSM614506","Public on Oct 13 2011","Oct 29 2010","Oct 13 2011","RNA","1","cultured lung endothelial cells","Homo sapiens","cell type: pulmonary microvascular endothelial cells","treatment: control","Cells were treated with freshly prepared heme (5 micromolar), every 48 hours for seven days","Endothelial cells were grown in complete medium containing fetal calf serum at 37 degrees celcius","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on a Human U 133 plus 2.0 GeneChip Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data of PMVECs cultured for seven days in normal medium","Gene level expression index was generated using the Affymetrix MAS 5.0 software.","GPL570","Tianwei,,Yu","Biostatistics","Emory University","1518 Clifton Rd NE","Atlanta","GA","30322","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614506/suppl/GSM614506_Sample_6.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614506/suppl/GSM614506_Sample_6.CHP.gz","54675","pulmonary microvascular endothelial cells","control"
"GSM614507","PMVECs treated with 5 micromolar heme rep 1","GSM614507","Public on Oct 13 2011","Oct 29 2010","Oct 13 2011","RNA","1","cultured lung endothelial cells","Homo sapiens","cell type: pulmonary microvascular endothelial cells","treatment: heme","Cells were treated with freshly prepared heme (5 micromolar), every 48 hours for seven days","Endothelial cells were grown in complete medium containing fetal calf serum at 37 degrees celcius","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on a Human U 133 plus 2.0 GeneChip Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data of PMVECs cultured for seven days in five micromolar heme","Gene level expression index was generated using the Affymetrix MAS 5.0 software.","GPL570","Tianwei,,Yu","Biostatistics","Emory University","1518 Clifton Rd NE","Atlanta","GA","30322","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614507/suppl/GSM614507_Sample_7.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614507/suppl/GSM614507_Sample_7.CHP.gz","54675","pulmonary microvascular endothelial cells","heme"
"GSM614508","PMVECs treated with 5 micromolar heme rep 2","GSM614508","Public on Oct 13 2011","Oct 29 2010","Oct 13 2011","RNA","1","cultured lung endothelial cells","Homo sapiens","cell type: pulmonary microvascular endothelial cells","treatment: heme","Cells were treated with freshly prepared heme (5 micromolar), every 48 hours for seven days","Endothelial cells were grown in complete medium containing fetal calf serum at 37 degrees celcius","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on a Human U 133 plus 2.0 GeneChip Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data of PMVECs cultured for seven days in five micromolar heme","Gene level expression index was generated using the Affymetrix MAS 5.0 software.","GPL570","Tianwei,,Yu","Biostatistics","Emory University","1518 Clifton Rd NE","Atlanta","GA","30322","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614508/suppl/GSM614508_Sample_8.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614508/suppl/GSM614508_Sample_8.CHP.gz","54675","pulmonary microvascular endothelial cells","heme"
"GSM614509","PMVECs treated with 5 micromolar heme rep 3","GSM614509","Public on Oct 13 2011","Oct 29 2010","Oct 13 2011","RNA","1","cultured lung endothelial cells","Homo sapiens","cell type: pulmonary microvascular endothelial cells","treatment: heme","Cells were treated with freshly prepared heme (5 micromolar), every 48 hours for seven days","Endothelial cells were grown in complete medium containing fetal calf serum at 37 degrees celcius","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on a Human U 133 plus 2.0 GeneChip Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data of PMVECs cultured for seven days in five micromolar heme","Gene level expression index was generated using the Affymetrix MAS 5.0 software.","GPL570","Tianwei,,Yu","Biostatistics","Emory University","1518 Clifton Rd NE","Atlanta","GA","30322","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614509/suppl/GSM614509_Sample_9.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614509/suppl/GSM614509_Sample_9.CHP.gz","54675","pulmonary microvascular endothelial cells","heme"
"GSM614510","PMVECs treated with 5 micromolar heme rep 4","GSM614510","Public on Oct 13 2011","Oct 29 2010","Oct 13 2011","RNA","1","cultured lung endothelial cells","Homo sapiens","cell type: pulmonary microvascular endothelial cells","treatment: heme","Cells were treated with freshly prepared heme (5 micromolar), every 48 hours for seven days","Endothelial cells were grown in complete medium containing fetal calf serum at 37 degrees celcius","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA.","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on a Human U 133 plus 2.0 GeneChip Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data of PMVECs cultured for seven days in five micromolar heme","Gene level expression index was generated using the Affymetrix MAS 5.0 software.","GPL570","Tianwei,,Yu","Biostatistics","Emory University","1518 Clifton Rd NE","Atlanta","GA","30322","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614510/suppl/GSM614510_Sample_10.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM614nnn/GSM614510/suppl/GSM614510_Sample_10.CHP.gz","54675","pulmonary microvascular endothelial cells","heme"
