"","GSM614501_Sample_1.CEL","GSM614502_Sample_2.CEL","GSM614503_Sample_3.CEL","GSM614504_Sample_4.CEL","GSM614505_Sample_5.CEL","GSM614506_Sample_6.CEL","GSM614507_Sample_7.CEL","GSM614508_Sample_8.CEL","GSM614509_Sample_9.CEL","GSM614510_Sample_10.CEL","GSM614511_Sample_11.CEL","GSM614512_Sample_12.CEL","GSM614513_Sample_13.CEL","GSM614514_Sample_14.CEL","GSM614515_Sample_15.CEL","GSM614516_Sample_16.CEL","GSM614517_Sample_17.CEL","GSM614518_Sample_18.CEL","GSM614519_Sample_19.CEL","GSM614520_Sample_20.CEL","GSM614521_Sample_21.CEL","GSM614522_Sample_22.CEL","GSM614523_Sample_23.CEL","GSM614524_Sample_24.CEL"
"A1BG",6.79291793064636,7.00207395097644,7.1932058995732,6.90040312229493,7.0501962963222,6.68451389078862,7.56228052537186,7.56128625042129,7.51230819527243,7.55969545676258,7.40605366352133,7.48333382567998,6.61327100901421,6.75548913969482,6.68157592839511,7.09122599175605,7.04678619504038,7.02325040639077,7.51845026378599,7.81105228546429,7.70210764014816,7.59470827190185,7.55978246648869,7.42077604230432
"A1BG-AS1",6.02622338598966,6.11124658106514,5.84256788723441,5.89428757339283,5.78053781967592,5.85414042680256,6.2111512628094,5.87695434500637,6.29970788576672,6.25435146446913,6.15963626410874,6.20388748540903,5.87522327256187,5.85646489431942,5.83776343669932,6.00328942439299,6.13947899269887,6.00949751703938,6.27998728276775,6.35609922184714,6.27328934876337,6.23672983032568,6.31375486416691,6.28616112194926
"A1CF",4.74705261821719,4.6927929506905,4.74335067746781,4.77375531653492,4.77417612093048,4.71245750421004,4.82176328899533,4.92302531518568,4.64417656542456,4.65651789574485,4.5930628063387,4.71743545003017,4.66928868543457,4.6729623397273,4.72043954832787,4.6279913124575,4.81185479190745,4.90968527478691,4.51684191521608,4.7332696780491,4.82933275622287,4.70888762344893,4.73621746873168,4.59709407732469
"A2M",6.89366849939795,6.99250101669501,7.00339071272646,6.95735134525788,7.06982787385559,6.95338563503882,7.14854823475926,7.09548941918495,6.9191623524295,6.71670701085021,6.65213949959939,6.62088003169626,6.79381184756748,6.87864336086892,6.7877664877277,6.98100336510566,7.04578166356936,6.86767211138972,6.75448411397587,6.7268816633423,6.82426747862384,6.60029501937736,6.57435536252867,6.65583906414902
"A2M-AS1",5.41016274758427,5.26513246310585,5.31912997542979,5.27154987687491,5.51578440516578,5.92485805673078,5.64329794081904,5.79008569927853,5.57356704681756,5.47556546640301,5.58603492085727,5.73359407577543,5.17480892051964,5.1273152160089,5.22394389786602,5.3360350545429,5.53528337571257,5.4557741607972,5.14943017919804,5.3279407713889,5.54572936568055,5.5346458851244,5.75447965950593,5.41265281894019
"A2ML1",4.16262382372649,4.23205895910222,4.30129206902564,4.26406869187446,4.19373539310912,4.22092390219844,4.23761214132218,4.08119661946585,4.13033986188803,4.17913820994246,4.2591774786877,4.17675058068379,4.24410692697814,4.13977594887472,4.14383897089153,4.20099325891868,4.29663201323734,4.27316694687838,4.36297980585317,4.16653174884357,4.31996740909202,4.09213191374494,4.19389292868441,4.2316022126503
"A2MP1",4.50170764869004,4.72220515749187,4.30277029160667,4.56833835878257,4.47838956202043,4.28152480500168,4.61578204183748,4.81867253514405,4.37568016737504,4.50056333620117,4.46458746283484,4.57431735697496,4.32944760836771,4.50135395227848,4.42303902387732,4.50817903089884,4.62023233418287,4.87971294385394,4.33620320431643,4.48828816725888,4.59910306407744,4.38383834605904,4.48159601021136,4.50738841482153
"A4GALT",8.25117138182604,8.18936801381543,8.23133730899148,8.13569596125901,8.28568575543181,8.29171544236828,7.96913169628963,7.58661047968702,7.78429511080558,7.74337671393509,7.73959137235297,7.68410110495262,8.44881369378347,8.42784800097815,8.68036998905148,8.48616866916146,8.48737162313124,8.37267865410581,7.63543912205803,7.71439992122256,7.73792979987193,7.66751074392173,7.57295141974601,7.63525922515762
"A4GNT",5.0704420759145,5.18306382270091,5.05636663507526,4.68150011147626,5.03938459939343,4.98797071753039,4.87743558700152,4.92665299552254,4.92422865095188,5.23664732320365,5.34288219984134,4.88355411130058,5.06485988393457,5.09323087869119,5.0192617389872,5.00327789677285,5.14146185575419,5.38444174751524,4.84976729743928,5.32611819548954,4.82799576596564,4.86677485167305,5.00537978083244,5.21041836907806
"AA06",5.33710598361347,5.34438746406431,5.2451407121635,5.16471538766947,5.39619342040933,5.34533348546317,5.28968031394842,5.61136979088098,5.19160352120973,5.29414196316287,5.50320101975221,5.31865699122813,5.61629605892093,5.26172053106342,5.23311508046805,5.26686836132914,5.67828304749352,5.59400417568962,5.33364813562937,5.38600317577651,5.22252045557597,5.32558090195607,5.31062402773964,5.25954294336031
